"ID";"RegioS";"Perioden";"JongerDan5Jaar_4";"k_5Tot10Jaar_5";"k_10Tot15Jaar_6";"k_15Tot20Jaar_7";"k_20Tot25Jaar_8";"k_25Tot45Jaar_9";"k_45Tot65Jaar_10";"k_65Tot80Jaar_11";"k_80JaarOfOuder_12"
"0";"NL01  ";"1995JJ00";"988709";"945288";"904370";"921788";"1145190";"4982356";"3502845";"1557819";"475757"
"1";"NL01  ";"1996JJ00";"980906";"963787";"903127";"923789";"1079959";"5011232";"3570216";"1579397";"481476"
"2";"NL01  ";"1997JJ00";"972763";"977221";"911369";"926011";"1027308";"5032126";"3636470";"1596420";"487419"
"3";"NL01  ";"1998JJ00";"969367";"986110";"927453";"926240";"985533";"5040029";"3709741";"1616527";"493192"
"4";"NL01  ";"1999JJ00";"976175";"994552";"945184";"923931";"967447";"5035933";"3786069";"1634782";"496152"
"5";"NL01  ";"2000JJ00";"983491";"1001670";"960382";"927465";"955886";"5019959";"3862655";"1652103";"500339"
"6";"NL01  ";"2001JJ00";"1001085";"995828";"980625";"930515";"962691";"4999741";"3942089";"1657864";"516637"
"7";"NL01  ";"2002JJ00";"1014622";"989238";"994388";"942388";"970356";"4972567";"4023012";"1667107";"531607"
"8";"NL01  ";"2003JJ00";"1022613";"984718";"1002757";"958911";"972828";"4927021";"4103268";"1676486";"543970"
"9";"NL01  ";"2004JJ00";"1021216";"986489";"1007999";"971853";"968863";"4873171";"4177287";"1692856";"558298"
"10";"NL01  ";"2005JJ00";"1010626";"987916";"1010032";"979383";"969352";"4806196";"4253351";"1715097";"573573"
"11";"NL01  ";"2006JJ00";"988152";"998577";"997855";"991042";"964744";"4739793";"4323588";"1743443";"587016"
"12";"NL01  ";"2007JJ00";"966881";"1005997";"985737";"998488";"966035";"4662925";"4403577";"1767510";"600842"
"13";"NL01  ";"2008JJ00";"945727";"1011145";"978852";"1004726";"977757";"4592210";"4480156";"1799337";"615489"
"14";"NL01  ";"2009JJ00";"931556";"1010634";"980868";"1010527";"996859";"4532571";"4550957";"1840607";"631208"
"15";"NL01  ";"2010JJ00";"924881";"1003249";"984781";"1015423";"1012910";"4476642";"4618775";"1890334";"647994"
"16";"NL01  ";"2011JJ00";"923106";"985229";"998740";"1006744";"1034729";"4423795";"4688510";"1927399";"667547"
"17";"NL01  ";"2012JJ00";"918736";"968692";"1009231";"998095";"1049537";"4380909";"4688780";"2030353";"686015"
"18";"NL01  ";"2013JJ00";"912202";"949986";"1015734";"992851";"1056687";"4333861";"4693909";"2121525";"702820"
"19";"NL01  ";"2014JJ00";"897669";"936162";"1016243";"995966";"1062309";"4287658";"4714258";"2201935";"717089"
"20";"NL01  ";"2015JJ00";"888322";"929655";"1009089";"1000993";"1069032";"4242279";"4753671";"2272709";"734976"
"21";"NL01  ";"2016JJ00";"876854";"930038";"992880";"1018727";"1065946";"4217738";"4791629";"2336560";"748748"
"22";"NL01  ";"2017JJ00";"872289";"929180";"980299";"1035405";"1066243";"4214276";"4824155";"2395385";"764275"
"23";"NL01  ";"2018JJ00";"868099";"928066";"966459";"1048032";"1068781";"4222614";"4839917";"2460202";"778914"
"24";"NL01  ";"2019JJ00";"866062";"917442";"956315";"1052019";"1079925";"4255450";"4840946";"2515184";"798820"
"25";"NL01  ";"2020JJ00";"861472";"911423";"953204";"1049158";"1094585";"4308904";"4836284";"2570467";"822088"
"26";"NL01  ";"2021JJ00";"857626";"899827";"954278";"1031735";"1107486";"4347005";"4819923";"2618874";"838661"
"27";"NL01  ";"2022JJ00";"864653";"894620";"953188";"1025356";"1132885";"4399003";"4795514";"2672346";"853107"
"28";"NL01  ";"2023JJ00";;;;;;;;;
