"ID";"Sectoren";"Perioden";"TotaalInkomsten_1";"TotaalBelastingen_2";"TotaalBelastingenOpProdEnInvoer_3";"ProductgebondenBelastingen_4";"NietProductgebondenBelastingen_5";"TotaalBelastOpInkomenEnVermogen_6";"BelastingenOpInkomen_7";"BelastingenOpVermogen_8";"Vermogensheffingen_9";"WettelijkeSocialeVerzekeringspremies_10";"VerkopenVanGoederenEnDiensten_11";"TotaalInkomenUitVermogen_12";"Rente_13";"Winstuitkeringen_14";"OverigInkomenUitInvesteringen_15";"InkomenUitGrondEnMineraleReserves_16";"TotaalInkomensoverdrachten_17";"InkomensoverdrachtenBinnenDeOverheid_18";"InkomensoverdrIvmInternationSamenw_19";"OverigeInkomensoverdrachten_20";"TotaalKapitaaloverdrExclVermogen_21";"Investeringsbijdragen_22";"OverigeKapitaaloverdrachten_23";"TotaalOverigeInkomsten_24";"InvesteringenInEigenBeheer_25";"Subsidies_26";"ToegerekendeSocialePremies_27";"TotaalUitgaven_28";"TotaalBeloningVanWerknemers_29";"Lonen_30";"SocialePremiesTLVWerkgevers_31";"AankopenGoederenEnDiensten_32";"TotaalNettoInvesteringen_33";"TotaalNettoInvestInVasteActiva_34";"BrutoInvesteringenInVasteActiva_35";"Afschrijvingen_36";"VeranderingenInVoorradenInclKos_37";"Afschrijvingen_38";"SaldoAanEnVerkopenVanNietGepro_39";"TotaalInkomenUitVermogen_40";"Rente_41";"InkomenUitGrondEnMineraleReserves_42";"TotaalUitkeringen_43";"TotaalSocialeUitkeringenInGeld_44";"UitkeringenWettSocVerzInGeld_45";"UitkeringenSocialeVoorzieningInGeld_46";"TotaalSocialeUitkeringenInNatura_47";"UitkeringenWettSocVerzInNatura_48";"UitkeringenSocVoorzieningInNatura_49";"TotaalSubsidies_50";"ProductgebondenSubsidies_51";"NietProductgebondenSubsidies_52";"TotaalInkomensoverdrachten_53";"InkomensoverdrachtenBinnenDeOverheid_54";"InkomensoverdrIvmInternationSamenw_55";"TotaalEigenMiddelenVanDeEU_56";"BTWAfdrachten_57";"BNIAfdrachten_58";"OverigeInkomensoverdrachten_59";"TotaalKapitaaloverdrachten_60";"Investeringsbijdragen_61";"OverigeKapitaaloverdrachten_62";"TotaalOverigeUitgaven_63";"BelastingenOpProductieEnInvoer_64";"BelastingenOpInkomenEnVermogen_65";"UitkSocVerzRechtstrDoorWerkgevers_66";"TotaalOverheidssaldo_67";"OverheidssaldoInkomsten_68";"OverheidssaldoUitgaven_69";"TotaalExploitatiesaldo_70";"ExploitatiesaldoOverheidssaldo_71";"NettoInvesteringen_72";"SaldoAanEnVerkopenVanNiet_73";"TotaalAardgasbaten_74";"Dividenden_75";"InkomenUitGrondEnMineraleReserves_76";"Vennootschapsbelasting_77";"WerkelijkeRenteInkomsten_78";"WerkelijkeRenteUitgaven_79"
"0";"10";"1995JJ00";"146760";"72605";"34345";"31158";"3187";"37479";"33520";"3959";"781";"48532";"9290";"9256";"3955";"2706";"2";"2593";"976";"0";"250";"726";"200";"90";"110";"5901";"2383";"20";"3498";"174713";"32391";"25646";"6745";"19090";"1849";"1847";"11956";"-10109";"2";"10109";"-1056";"16767";"16734";"33";"65543";"43005";"32414";"10591";"22538";"18318";"4220";"3434";"2021";"1413";"4887";"0";"1618";"2560";"1786";"774";"709";"17846";"1458";"16388";"3853";"355";"0";"3498";"-27953";"146760";"-174713";"-27160";"-27953";"1849";"-1056";;;;;"3544";"17758"
"1";"10";"1996JJ00";"154096";"78336";"36828";"33557";"3271";"40619";"36110";"4509";"889";"48822";"9982";"8733";"2972";"2886";"0";"2875";"1254";"0";"312";"942";"829";"82";"747";"6140";"2370";"81";"3689";"159985";"32621";"25688";"6933";"19709";"2564";"2561";"13028";"-10467";"3";"10467";"-2109";"16363";"16331";"32";"65238";"43120";"32694";"10426";"22118";"17876";"4242";"3900";"1893";"2007";"5277";"0";"1765";"2739";"1475";"1264";"773";"1901";"1307";"594";"4054";"365";"0";"3689";"-5889";"154096";"-159985";"-5434";"-5889";"2564";"-2109";;;;;"2666";"17404"
"2";"10";"1997JJ00";"160855";"82349";"39922";"36647";"3275";"41476";"37094";"4382";"951";"51750";"10596";"8455";"2744";"2899";"1";"2811";"1214";"0";"297";"917";"209";"136";"73";"6282";"2420";"127";"3735";"165501";"33951";"27113";"6838";"20232";"2312";"2309";"13165";"-10856";"3";"10856";"-1403";"16322";"16289";"33";"66711";"42726";"32749";"9977";"23985";"20746";"3239";"4511";"1931";"2580";"5742";"0";"1791";"3110";"1666";"1444";"841";"2153";"1316";"837";"4114";"379";"0";"3735";"-4646";"160855";"-165501";"-3737";"-4646";"2312";"-1403";;;;;"2436";"17172"
"3";"10";"1998JJ00";"168195";"86958";"42752";"39326";"3426";"43080";"38408";"4672";"1126";"54363";"11009";"7580";"2732";"2786";"1";"2061";"1421";"0";"201";"1220";"210";"151";"59";"6654";"2700";"173";"3781";"171717";"35703";"27428";"8275";"21674";"2535";"2530";"13777";"-11247";"5";"11247";"-2221";"16448";"16417";"31";"67895";"42427";"31787";"10640";"25468";"21841";"3627";"5236";"1952";"3284";"6114";"0";"1758";"3442";"1610";"1832";"914";"2897";"1678";"1219";"4189";"408";"0";"3781";"-3522";"168195";"-171717";"-3208";"-3522";"2535";"-2221";;;;;"2443";"17131"
"4";"10";"1999KW01";"43038";"21742";"11009";"10032";"977";"10455";"9266";"1189";"278";"14736";"3120";"1263";"720";"273";"0";"270";"315";"0";"59";"256";"69";"51";"18";"1793";"851";"57";"885";"43340";"8402";"6324";"2078";"5552";"509";"505";"3468";"-2963";"4";"2963";"-441";"4056";"4049";"7";"17000";"9971";"7673";"2298";"7029";"6019";"1010";"1678";"590";"1088";"1985";"0";"468";"1159";"507";"652";"358";"646";"375";"271";"990";"105";"0";"885";"-302";"43038";"-43340";"-234";"-302";"509";"-441";;;;;"646";"4234"
"5";"10";"1999KW02";"46186";"22971";"11860";"10899";"961";"10776";"9476";"1300";"335";"16164";"2668";"2218";"721";"1186";"0";"311";"316";"0";"59";"257";"70";"52";"18";"1779";"732";"54";"993";"47257";"10461";"8238";"2223";"5681";"847";"843";"3808";"-2965";"4";"2965";"-342";"4033";"4026";"7";"18746";"12223";"9436";"2787";"6523";"5558";"965";"1581";"629";"952";"1532";"0";"468";"619";"282";"337";"445";"650";"375";"275";"1103";"110";"0";"993";"-1071";"46186";"-47257";"-566";"-1071";"847";"-342";;;;;"646";"4215"
"6";"10";"1999KW03";"43607";"22936";"11408";"10449";"959";"11201";"10068";"1133";"327";"13911";"2743";"1989";"746";"778";"1";"464";"313";"0";"58";"255";"69";"51";"18";"1646";"687";"49";"910";"42739";"8439";"6409";"2030";"5577";"945";"940";"3896";"-2956";"5";"2956";"-368";"4020";"4012";"8";"16514";"10053";"7665";"2388";"6461";"5536";"925";"1326";"457";"869";"1672";"0";"467";"843";"353";"490";"362";"647";"374";"273";"1011";"101";"0";"910";"868";"43607";"-42739";"1445";"868";"945";"-368";;;;;"667";"4195"
"7";"10";"1999KW04";"48835";"26524";"13100";"12149";"951";"13066";"11760";"1306";"358";"15234";"3327";"1600";"777";"424";"0";"399";"313";"0";"59";"254";"69";"51";"18";"1768";"683";"54";"1031";"46977";"10300";"8088";"2212";"6277";"1466";"1462";"4480";"-3018";"4";"3018";"-320";"3992";"3984";"8";"17246";"10389";"7696";"2693";"6857";"5899";"958";"1504";"498";"1006";"1695";"0";"467";"859";"450";"409";"369";"648";"375";"273";"1151";"120";"0";"1031";"1858";"48835";"-46977";"3004";"1858";"1466";"-320";;;;;"700";"4167"
"8";"10";"1999JJ00";"181666";"94173";"47377";"43529";"3848";"45498";"40570";"4928";"1298";"60045";"11858";"7070";"2964";"2661";"1";"1444";"1257";"0";"235";"1022";"277";"205";"72";"6986";"2953";"214";"3819";"180313";"37602";"29059";"8543";"23087";"3767";"3750";"15652";"-11902";"17";"11902";"-1471";"16101";"16071";"30";"69506";"42636";"32470";"10166";"26870";"23012";"3858";"6089";"2174";"3915";"6884";"0";"1870";"3480";"1592";"1888";"1534";"2591";"1499";"1092";"4255";"436";"0";"3819";"1353";"181666";"-180313";"3649";"1353";"3767";"-1471";;;;;"2659";"16811"
"9";"10";"2000KW01";"44955";"22531";"11570";"10525";"1045";"10680";"9406";"1274";"281";"15310";"3306";"1560";"885";"280";"6";"389";"351";"0";"48";"303";"56";"36";"20";"1841";"893";"63";"885";"45476";"8886";"6696";"2190";"6047";"506";"503";"3680";"-3177";"3";"3177";"-294";"3751";"3744";"7";"17796";"10133";"7831";"2302";"7663";"6550";"1113";"1733";"597";"1136";"2188";"0";"570";"1039";"494";"545";"579";"688";"410";"278";"998";"113";"0";"885";"-521";"44955";"-45476";"-309";"-521";"506";"-294";;;;;"778";"3899"
