"ID";"Perioden";"PersonenVan80JaarOfOuder_51"
"0";"2001JJ00";"516637"
"1";"2002JJ00";"531607"
"2";"2003JJ00";"543970"
"3";"2004JJ00";"558298"
"4";"2005JJ00";"573573"
"5";"2006JJ00";"587016"
"6";"2007JJ00";"600842"
"7";"2008JJ00";"615489"
"8";"2009JJ00";"631208"
"9";"2010JJ00";"647994"
"10";"2011JJ00";"667547"
"11";"2012JJ00";"686015"
"12";"2013JJ00";"702820"
"13";"2014JJ00";"717089"
"14";"2015JJ00";"734976"
"15";"2016JJ00";"748748"
"16";"2017JJ00";"764275"
"17";"2018JJ00";"778914"
"18";"2019JJ00";"798820"
"19";"2020JJ00";"822088"
"20";"2021JJ00";"838661"
"21";"2022JJ00";"853107"
