"Perioden";"Leeftijd";"Totaal mannen en vrouwen";"Mannen";"Vrouwen"
"1988";"Totaal";"14714948";"7273611";"7441337"
"1988";"0 jaar";"185917";"95322";"90595"
"1988";"1 jaar";"184173";"93612";"90561"
"1988";"2 jaar";"178994";"91318";"87676"
"1988";"3 jaar";"175743";"90031";"85712"
"1988";"4 jaar";"171390";"87501";"83889"
"1988";"5 jaar";"173149";"88588";"84561"
"1988";"6 jaar";"179279";"91325";"87954"
"1988";"7 jaar";"182482";"93450";"89032"
"1988";"8 jaar";"177254";"90549";"86705"
"1988";"9 jaar";"178279";"91244";"87035"
"1988";"10 jaar";"176401";"90194";"86207"
"1988";"11 jaar";"180149";"92552";"87597"
"1988";"12 jaar";"182392";"93234";"89158"
"1988";"13 jaar";"191976";"98198";"93778"
"1988";"14 jaar";"201130";"102738";"98392"
"1988";"15 jaar";"220650";"112361";"108289"
"1988";"16 jaar";"234758";"120170";"114588"
"1988";"17 jaar";"246903";"126141";"120762"
"1988";"18 jaar";"255820";"130728";"125092"
"1988";"19 jaar";"245472";"124906";"120566"
"1988";"20 jaar";"245989";"125569";"120420"
"1988";"21 jaar";"248613";"126587";"122026"
"1988";"22 jaar";"254511";"129868";"124643"
"1988";"23 jaar";"261497";"133737";"127760"
"1988";"24 jaar";"259515";"132703";"126812"
"1988";"25 jaar";"256491";"130873";"125618"
"1988";"26 jaar";"256733";"130887";"125846"
"1988";"27 jaar";"250537";"128279";"122258"
"1988";"28 jaar";"250781";"127960";"122821"
"1988";"29 jaar";"244640";"124695";"119945"
"1988";"30 jaar";"241408";"122987";"118421"
"1988";"31 jaar";"238627";"121863";"116764"
"1988";"32 jaar";"234290";"118844";"115446"
"1988";"33 jaar";"232553";"118732";"113821"
"1988";"34 jaar";"230465";"117589";"112876"
"1988";"35 jaar";"231630";"118413";"113217"
"1988";"36 jaar";"225189";"115305";"109884"
"1988";"37 jaar";"227166";"116390";"110776"
"1988";"38 jaar";"231485";"118734";"112751"
"1988";"39 jaar";"240209";"123565";"116644"
"1988";"40 jaar";"253850";"130079";"123771"
"1988";"41 jaar";"263039";"135439";"127600"
"1988";"42 jaar";"189934";"97686";"92248"
"1988";"43 jaar";"199452";"102551";"96901"
"1988";"44 jaar";"189606";"97740";"91866"
"1988";"45 jaar";"175256";"90486";"84770"
"1988";"46 jaar";"167468";"86257";"81211"
"1988";"47 jaar";"171965";"88313";"83652"
"1988";"48 jaar";"166073";"84680";"81393"
"1988";"49 jaar";"163189";"83403";"79786"
"1988";"50 jaar";"153954";"78307";"75647"
"1988";"51 jaar";"153255";"77900";"75355"
"1988";"52 jaar";"150082";"75925";"74157"
"1988";"53 jaar";"148998";"74957";"74041"
"1988";"54 jaar";"145963";"73133";"72830"
"1988";"55 jaar";"149634";"74479";"75155"
"1988";"56 jaar";"146269";"72298";"73971"
"1988";"57 jaar";"148482";"73215";"75267"
"1988";"58 jaar";"141514";"69011";"72503"
"1988";"59 jaar";"140641";"67898";"72743"
"1988";"60 jaar";"135229";"65014";"70215"
"1988";"61 jaar";"134872";"64274";"70598"
"1988";"62 jaar";"133276";"62851";"70425"
"1988";"63 jaar";"133442";"62097";"71345"
"1988";"64 jaar";"134798";"62648";"72150"
"1988";"65 jaar";"129033";"59464";"69569"
