"ID";"RegioS";"Perioden";"BbpVolumemutaties_3"
"510";"CR01";"2019JJ00";"2.1"
"537";"CR02";"2019JJ00";"-0.7"
"564";"CR03";"2019JJ00";"-1.6"
"591";"CR04";"2019JJ00";"3.4"
"618";"CR05";"2019JJ00";"2.4"
"645";"CR06";"2019JJ00";"2.5"
"672";"CR07";"2019JJ00";"1"
"699";"CR08";"2019JJ00";"-3.5"
"726";"CR09";"2019JJ00";"4.7"
"753";"CR10";"2019JJ00";"1.2"
"780";"CR11";"2019JJ00";"0.4"
"807";"CR12";"2019JJ00";"2.3"
"834";"CR13";"2019JJ00";"1.8"
"861";"CR14";"2019JJ00";"1.6"
"888";"CR15";"2019JJ00";"1.8"
"915";"CR16";"2019JJ00";"1"
"942";"CR17";"2019JJ00";"3.9"
"969";"CR18";"2019JJ00";"2"
"996";"CR19";"2019JJ00";"3.9"
"1023";"CR20";"2019JJ00";"-0.4"
"1050";"CR21";"2019JJ00";"-0.8"
"1077";"CR22";"2019JJ00";"2.4"
"1104";"CR23";"2019JJ00";"4.5"
"1131";"CR24";"2019JJ00";"2.4"
"1158";"CR25";"2019JJ00";"-0.1"
"1185";"CR26";"2019JJ00";"2.7"
"1212";"CR27";"2019JJ00";"1.6"
"1239";"CR28";"2019JJ00";"0.6"
"1266";"CR29";"2019JJ00";"1.1"
"1293";"CR30";"2019JJ00";"-4.1"
"1320";"CR31";"2019JJ00";"-5.5"
"1347";"CR32";"2019JJ00";"1.5"
"1374";"CR33";"2019JJ00";"0.1"
"1401";"CR34";"2019JJ00";"1.6"
"1428";"CR35";"2019JJ00";"2.6"
"1455";"CR36";"2019JJ00";"2.4"
"1482";"CR37";"2019JJ00";"1"
"1509";"CR38";"2019JJ00";"1.3"
"1536";"CR39";"2019JJ00";"1.1"
"1563";"CR40";"2019JJ00";"1.5"
