"ID";"RegioS";"Perioden";"GrijzeDruk_24"
"1678";"GM1680";"2020JJ00";"49.2"
"1707";"GM0738";"2020JJ00";
"1736";"GM0358";"2020JJ00";"32.4"
"1765";"GM0197";"2020JJ00";"40.5"
"1794";"GM0480";"2020JJ00";
"1823";"GM0739";"2020JJ00";
"1852";"GM0305";"2020JJ00";
"1881";"GM0059";"2020JJ00";"35.9"
"1910";"GM0360";"2020JJ00";
"1939";"GM0482";"2020JJ00";"36.3"
"1968";"GM0613";"2020JJ00";"29.9"
"1997";"GM0483";"2020JJ00";
"2026";"GM0361";"2020JJ00";"33.3"
"2055";"GM0141";"2020JJ00";"34.3"
"2084";"GM0034";"2020JJ00";"18.7"
"2113";"GM0484";"2020JJ00";"32.8"
"2142";"GM0741";"2020JJ00";
"2171";"GM1723";"2020JJ00";"41.4"
"2200";"GM1959";"2020JJ00";"35.3"
"2229";"GM0142";"2020JJ00";
"2258";"GM1679";"2020JJ00";
"2287";"GM0060";"2020JJ00";"40.7"
"2316";"GM0306";"2020JJ00";
"2345";"GM0307";"2020JJ00";"25"
"2374";"GM0198";"2020JJ00";
"2403";"GM0362";"2020JJ00";"33.2"
"2432";"GM0363";"2020JJ00";"18.6"
"2461";"GM0364";"2020JJ00";
"2490";"GM0199";"2020JJ00";
"2519";"GM0105";"2020JJ00";
"2548";"GM0366";"2020JJ00";
"2577";"GM0200";"2020JJ00";"36.8"
"2606";"GM0003";"2020JJ00";"46.7"
"2635";"GM0885";"2020JJ00";
"2664";"GM0649";"2020JJ00";
"2693";"GM0202";"2020JJ00";"24.3"
"2722";"GM0106";"2020JJ00";"35.5"
"2751";"GM0743";"2020JJ00";"40.1"
"2780";"GM0143";"2020JJ00";
"2809";"GM0650";"2020JJ00";
"2838";"GM0744";"2020JJ00";"49.8"
"2867";"GM0308";"2020JJ00";"43.9"
"2896";"GM0745";"2020JJ00";
"2925";"GM0489";"2020JJ00";"31.1"
"2954";"GM0203";"2020JJ00";"30.1"
"2983";"GM0144";"2020JJ00";
"3012";"GM0005";"2020JJ00";
"3041";"GM0888";"2020JJ00";"45.8"
"3070";"GM0746";"2020JJ00";
"3099";"GM1954";"2020JJ00";"46.4"
"3128";"GM0370";"2020JJ00";"35.3"
"3157";"GM0889";"2020JJ00";"42.2"
"3186";"GM0107";"2020JJ00";
"3215";"GM0890";"2020JJ00";
"3244";"GM0007";"2020JJ00";
"3273";"GM0206";"2020JJ00";
"3302";"GM0372";"2020JJ00";
"3331";"GM1945";"2020JJ00";"44.4"
"3360";"GM0491";"2020JJ00";
"3389";"GM1724";"2020JJ00";"39.1"
"3418";"GM0893";"2020JJ00";"41.8"
"3447";"GM0373";"2020JJ00";"65.8"
"3476";"GM0748";"2020JJ00";"37.6"
"3505";"GM0749";"2020JJ00";
"3534";"GM0207";"2020JJ00";
"3563";"GM0492";"2020JJ00";
"3592";"GM0493";"2020JJ00";
"3621";"GM0751";"2020JJ00";
"3650";"GM1859";"2020JJ00";"46.1"
"3679";"GM0752";"2020JJ00";
"3708";"GM1721";"2020JJ00";"37.3"
"3737";"GM0568";"2020JJ00";
"3766";"GM0753";"2020JJ00";"32.8"
"3795";"GM0209";"2020JJ00";"33.4"
"3824";"GM0375";"2020JJ00";"30.4"
"3853";"GM0063";"2020JJ00";
"3882";"GM0310";"2020JJ00";"45.8"
"3911";"GM0585";"2020JJ00";
"3940";"GM1728";"2020JJ00";"38"
"3969";"GM0754";"2020JJ00";
"3998";"GM0376";"2020JJ00";"48.9"
"4027";"GM0495";"2020JJ00";
"4056";"GM0377";"2020JJ00";"55.3"
"4085";"GM0055";"2020JJ00";
"4114";"GM0497";"2020JJ00";
"4143";"GM1901";"2020JJ00";"36.5"
"4172";"GM0755";"2020JJ00";"32.1"
"4201";"GM0009";"2020JJ00";
"4230";"GM0064";"2020JJ00";
"4259";"GM0211";"2020JJ00";
"4288";"GM0108";"2020JJ00";
"4317";"GM1681";"2020JJ00";"44.7"
"4346";"GM0897";"2020JJ00";
"4375";"GM0147";"2020JJ00";"40.4"
"4404";"GM0654";"2020JJ00";"36.7"
"4433";"GM0499";"2020JJ00";
"4462";"GM0756";"2020JJ00";"40.8"
"4491";"GM0757";"2020JJ00";"39.8"
"4520";"GM0212";"2020JJ00";
"4549";"GM0758";"2020JJ00";"31"
"4578";"GM0194";"2020JJ00";
"4607";"GM0311";"2020JJ00";
"4636";"GM0501";"2020JJ00";"39.1"
"4665";"GM0898";"2020JJ00";
"4694";"GM1876";"2020JJ00";"48.5"
"4723";"GM0656";"2020JJ00";
"4752";"GM0657";"2020JJ00";
"4781";"GM0213";"2020JJ00";"46.3"
"4810";"GM0899";"2020JJ00";"43.9"
"4839";"GM0759";"2020JJ00";
"4868";"GM0312";"2020JJ00";"42"
"4897";"GM0313";"2020JJ00";"28.7"
"4926";"GM0214";"2020JJ00";"35.7"
"4955";"GM0381";"2020JJ00";
"4984";"GM0502";"2020JJ00";"35.4"
"5013";"GM0383";"2020JJ00";"46"
"5042";"GM0760";"2020JJ00";
"5071";"GM0109";"2020JJ00";"44.6"
"5100";"GM0314";"2020JJ00";
"5129";"GM1706";"2020JJ00";"42"
"5158";"GM0611";"2020JJ00";
"5187";"GM1684";"2020JJ00";"37.3"
"5216";"GM0216";"2020JJ00";"31.1"
"5245";"GM0110";"2020JJ00";
"5274";"GM0148";"2020JJ00";"38.6"
"5303";"GM0065";"2020JJ00";
"5332";"GM1891";"2020JJ00";"40.8"
"5361";"GM0503";"2020JJ00";"24.1"
"5390";"GM0010";"2020JJ00";"45.7"
"5419";"GM0149";"2020JJ00";
"5448";"GM0762";"2020JJ00";"38"
"5477";"GM0150";"2020JJ00";"30.6"
"5506";"GM0218";"2020JJ00";
"5535";"GM0384";"2020JJ00";"23.8"
"5564";"GM0151";"2020JJ00";
"5593";"GM0152";"2020JJ00";
"5622";"GM0763";"2020JJ00";
"5651";"GM0111";"2020JJ00";
"5680";"GM1980";"2020JJ00";
"5709";"GM1774";"2020JJ00";"39.7"
"5738";"GM0764";"2020JJ00";
"5767";"GM0219";"2020JJ00";
"5796";"GM0504";"2020JJ00";
"5825";"GM0220";"2020JJ00";
"5854";"GM0221";"2020JJ00";"47.3"
"5883";"GM0222";"2020JJ00";"36.6"
"5912";"GM0660";"2020JJ00";
"5941";"GM0766";"2020JJ00";"37"
"5970";"GM0058";"2020JJ00";
"5999";"GM0315";"2020JJ00";
"6028";"GM0505";"2020JJ00";"32.5"
"6057";"GM0498";"2020JJ00";"38.6"
"6086";"GM0316";"2020JJ00";
"6115";"GM1719";"2020JJ00";"39.7"
"6144";"GM0303";"2020JJ00";"30.8"
"6173";"GM0767";"2020JJ00";
"6202";"GM0225";"2020JJ00";"33.6"
"6231";"GM0662";"2020JJ00";
"6260";"GM0226";"2020JJ00";"32.4"
"6289";"GM0768";"2020JJ00";
"6318";"GM0769";"2020JJ00";
"6347";"GM0112";"2020JJ00";
"6376";"GM0902";"2020JJ00";
"6405";"GM0227";"2020JJ00";
"6434";"GM1711";"2020JJ00";"45.4"
"6463";"GM0385";"2020JJ00";"37.6"
"6492";"GM0228";"2020JJ00";"32.5"
"6521";"GM0113";"2020JJ00";
"6550";"GM0317";"2020JJ00";"36.6"
"6579";"GM1979";"2020JJ00";
"6608";"GM1651";"2020JJ00";
"6637";"GM0770";"2020JJ00";"39.6"
"6666";"GM0357";"2020JJ00";
"6695";"GM0229";"2020JJ00";
"6724";"GM0905";"2020JJ00";
"6753";"GM1903";"2020JJ00";"46.2"
"6782";"GM0772";"2020JJ00";"26.2"
"6811";"GM0230";"2020JJ00";"35.8"
"6840";"GM0231";"2020JJ00";
"6869";"GM0114";"2020JJ00";"40.9"
"6898";"GM0388";"2020JJ00";"38.7"
"6927";"GM0153";"2020JJ00";"29.2"
"6956";"GM0232";"2020JJ00";"47.3"
"6985";"GM0233";"2020JJ00";"42.6"
"7014";"GM0776";"2020JJ00";
"7043";"GM0777";"2020JJ00";"36.1"
"7072";"GM0068";"2020JJ00";
"7101";"GM1722";"2020JJ00";
"7130";"GM0778";"2020JJ00";
"7159";"GM0070";"2020JJ00";
"7188";"GM1921";"2020JJ00";
"7217";"GM1940";"2020JJ00";"42.9"
"7246";"GM0653";"2020JJ00";
"7275";"GM0115";"2020JJ00";
"7304";"GM0779";"2020JJ00";"36.7"
"7333";"GM0236";"2020JJ00";
"7362";"GM0781";"2020JJ00";
"7391";"GM1771";"2020JJ00";"39"
"7420";"GM0906";"2020JJ00";
"7449";"GM0782";"2020JJ00";
"7478";"GM1652";"2020JJ00";"34"
"7507";"GM0237";"2020JJ00";
"7536";"GM0238";"2020JJ00";
