"ID";"Perioden";"GrijzeDruk_22"
"0";"1950JJ00";"14"
"1";"1951JJ00";"14.2"
"2";"1952JJ00";"14.5"
"3";"1953JJ00";"14.8"
"4";"1954JJ00";"15.1"
"5";"1955JJ00";"15.4"
"6";"1956JJ00";"15.6"
"7";"1957JJ00";"15.9"
"8";"1958JJ00";"16.1"
"9";"1959JJ00";"16.5"
"10";"1960JJ00";"16.8"
"11";"1961JJ00";"17.1"
"12";"1962JJ00";"17.5"
"13";"1963JJ00";"17.7"
"14";"1964JJ00";"17.9"
"15";"1965JJ00";"18.1"
"16";"1966JJ00";"18.3"
"17";"1967JJ00";"18.3"
"18";"1968JJ00";"18.5"
"19";"1969JJ00";"18.6"
"20";"1970JJ00";"18.8"
"21";"1971JJ00";"18.9"
"22";"1972JJ00";"19"
"23";"1973JJ00";"19.1"
"24";"1974JJ00";"19.3"
"25";"1975JJ00";"19.5"
"26";"1976JJ00";"19.6"
"27";"1977JJ00";"19.6"
"28";"1978JJ00";"19.8"
"29";"1979JJ00";"19.9"
"30";"1980JJ00";"20.1"
"31";"1981JJ00";"20.1"
"32";"1982JJ00";"20.1"
"33";"1983JJ00";"20.1"
"34";"1984JJ00";"20.1"
"35";"1985JJ00";"20"
"36";"1986JJ00";"20.2"
"37";"1987JJ00";"20.4"
"38";"1988JJ00";"20.6"
"39";"1989JJ00";"20.7"
"40";"1990JJ00";"20.8"
"41";"1991JJ00";"20.8"
"42";"1992JJ00";"20.8"
"43";"1993JJ00";"20.9"
"44";"1994JJ00";"21"
"45";"1995JJ00";"21.1"
"46";"1996JJ00";"21.3"
"47";"1997JJ00";"21.5"
"48";"1998JJ00";"21.7"
"49";"1999JJ00";"21.8"
"50";"2000JJ00";"21.9"
"51";"2001JJ00";"22"
"52";"2002JJ00";"22.1"
"53";"2003JJ00";"22.2"
"54";"2004JJ00";"22.5"
"55";"2005JJ00";"22.8"
"56";"2006JJ00";"23.2"
"57";"2007JJ00";"23.6"
"58";"2008JJ00";"24"
"59";"2009JJ00";"24.5"
"60";"2010JJ00";"25.1"
"61";"2011JJ00";"25.6"
"62";"2012JJ00";"26.8"
"63";"2013JJ00";"28"
"64";"2014JJ00";"29"
"65";"2015JJ00";"29.9"
"66";"2016JJ00";"30.6"
"67";"2017JJ00";"31.3"
"68";"2018JJ00";"32"
"69";"2019JJ00";"32.6"
"70";"2020JJ00";"33.1"
"71";"2021JJ00";"33.7"
"72";"2022JJ00";"34.1"
