"ID";"RegioS";"Perioden";"BbpVolumemutaties_3"
"162";"PV20    ";"1995JJ00";
"163";"PV20    ";"1996JJ00";"6.7"
"164";"PV20    ";"1997JJ00";"1.2"
"165";"PV20    ";"1998JJ00";"0.6"
"166";"PV20    ";"1999JJ00";"2.4"
"167";"PV20    ";"2000JJ00";"1.7"
"168";"PV20    ";"2001JJ00";"2.2"
"169";"PV20    ";"2002JJ00";"0.9"
"170";"PV20    ";"2003JJ00";"-0.5"
"171";"PV20    ";"2004JJ00";"1.9"
"172";"PV20    ";"2005JJ00";"-0.8"
"173";"PV20    ";"2006JJ00";"0.2"
"174";"PV20    ";"2007JJ00";"0.9"
"175";"PV20    ";"2008JJ00";"3"
"176";"PV20    ";"2009JJ00";"-4.5"
"177";"PV20    ";"2010JJ00";"4.3"
"178";"PV20    ";"2011JJ00";"-1.1"
"179";"PV20    ";"2012JJ00";"-1.2"
"180";"PV20    ";"2013JJ00";"3.3"
"181";"PV20    ";"2014JJ00";"-2.8"
"182";"PV20    ";"2015JJ00";"-5.3"
"183";"PV20    ";"2016JJ00";"2.2"
"184";"PV20    ";"2017JJ00";"-0.4"
"185";"PV20    ";"2018JJ00";"-2.7"
"186";"PV20    ";"2019JJ00";"-1"
"187";"PV20    ";"2020JJ00";"-7.6"
"188";"PV20    ";"2021JJ00";"3.9"
"189";"PV21    ";"1995JJ00";
"190";"PV21    ";"1996JJ00";"3.6"
"191";"PV21    ";"1997JJ00";"2.1"
"192";"PV21    ";"1998JJ00";"5.1"
"193";"PV21    ";"1999JJ00";"4.3"
"194";"PV21    ";"2000JJ00";"3.3"
"195";"PV21    ";"2001JJ00";"3.4"
"196";"PV21    ";"2002JJ00";"-0.7"
"197";"PV21    ";"2003JJ00";"1.6"
"198";"PV21    ";"2004JJ00";"1.2"
"199";"PV21    ";"2005JJ00";"2.3"
"200";"PV21    ";"2006JJ00";"2.4"
"201";"PV21    ";"2007JJ00";"4.2"
"202";"PV21    ";"2008JJ00";"1.6"
"203";"PV21    ";"2009JJ00";"-2.7"
"204";"PV21    ";"2010JJ00";"0.8"
"205";"PV21    ";"2011JJ00";"3"
"206";"PV21    ";"2012JJ00";"-2.3"
"207";"PV21    ";"2013JJ00";"-1.6"
"208";"PV21    ";"2014JJ00";"1.6"
"209";"PV21    ";"2015JJ00";"-1.4"
"210";"PV21    ";"2016JJ00";"1.2"
"211";"PV21    ";"2017JJ00";"1.4"
"212";"PV21    ";"2018JJ00";"1.6"
"213";"PV21    ";"2019JJ00";"3"
"214";"PV21    ";"2020JJ00";"-2.1"
"215";"PV21    ";"2021JJ00";"4.1"
"216";"PV22    ";"1995JJ00";
"217";"PV22    ";"1996JJ00";"3.6"
"218";"PV22    ";"1997JJ00";"2.2"
