"ID","RegioS","Perioden","GrijzeDruk_24"
"1681","GM1680","2023JJ00","52.3"
"1710","GM0738","2023JJ00",
"1739","GM0358","2023JJ00","32.6"
"1768","GM0197","2023JJ00","43.3"
"1797","GM0480","2023JJ00",
"1826","GM0739","2023JJ00",
"1855","GM0305","2023JJ00",
"1884","GM0059","2023JJ00","38.4"
"1913","GM0360","2023JJ00",
"1942","GM0482","2023JJ00","36.4"
"1971","GM0613","2023JJ00","31.9"
"2000","GM0483","2023JJ00",
"2029","GM0361","2023JJ00","35.2"
"2058","GM0141","2023JJ00","35.2"
"2087","GM0034","2023JJ00","21.2"
"2116","GM0484","2023JJ00","34.7"
"2145","GM0741","2023JJ00",
"2174","GM1723","2023JJ00","44.3"
"2203","GM1959","2023JJ00","36.3"
"2232","GM0142","2023JJ00",
"2261","GM1679","2023JJ00",
"2290","GM0060","2023JJ00","43.5"
"2319","GM0306","2023JJ00",
"2348","GM0307","2023JJ00","26.3"
"2377","GM0198","2023JJ00",
"2406","GM0362","2023JJ00","33.3"
"2435","GM0363","2023JJ00","19.7"
"2464","GM0364","2023JJ00",
"2493","GM0199","2023JJ00",
"2522","GM0105","2023JJ00",
"2551","GM0366","2023JJ00",
"2580","GM0200","2023JJ00","38.3"
"2609","GM0003","2023JJ00",
"2638","GM0885","2023JJ00",
"2667","GM0649","2023JJ00",
"2696","GM0202","2023JJ00","25.2"
"2725","GM0106","2023JJ00","37.5"
"2754","GM0743","2023JJ00","41.7"
"2783","GM0143","2023JJ00",
"2812","GM0650","2023JJ00",
"2841","GM0744","2023JJ00","50.9"
"2870","GM0308","2023JJ00","46.4"
"2899","GM0745","2023JJ00",
"2928","GM0489","2023JJ00","33.5"
"2957","GM0203","2023JJ00","31.4"
"2986","GM0144","2023JJ00",
"3015","GM0005","2023JJ00",
"3044","GM0888","2023JJ00","48.5"
"3073","GM0746","2023JJ00",
"3102","GM1954","2023JJ00","49.2"
"3131","GM0370","2023JJ00",
"3160","GM0889","2023JJ00","45.4"
"3189","GM0107","2023JJ00",
"3218","GM0890","2023JJ00",
"3247","GM0007","2023JJ00",
"3276","GM0206","2023JJ00",
"3305","GM0372","2023JJ00",
