ID,Uitkeringen,Perioden,SocialeUitkeringen_1
0,T001397,1995JJ00,66254
1,T001397,1996JJ00,65922
2,T001397,1997JJ00,67457
3,T001397,1998JJ00,68889
4,T001397,1999JJ00,70743
5,T001397,2000JJ00,74094
6,T001397,2001JJ00,79255
7,T001397,2002JJ00,85343
8,T001397,2003JJ00,91237
9,T001397,2004JJ00,93355
10,T001397,2005JJ00,95335
11,T001397,2006JJ00,108629
12,T001397,2007JJ00,112795
13,T001397,2008JJ00,119565
14,T001397,2009JJ00,128265
15,T001397,2010JJ00,133994
16,T001397,2011JJ00,137613
17,T001397,2012JJ00,141912
18,T001397,2013JJ00,145560
19,T001397,2014JJ00,147105
20,T001397,2015JJ00,147869
21,T001397,2016JJ00,150981
22,T001397,2017JJ00,153484
23,T001397,2018JJ00,158338
24,T001397,2019JJ00,165372
25,T001397,2020JJ00,169979
26,T001397,2021JJ00,181346
27,A045107,1995JJ00,50635
28,A045107,1996JJ00,50462
29,A045107,1997JJ00,53380
30,A045107,1998JJ00,53503
31,A045107,1999JJ00,55351
32,A045107,2000JJ00,58171
33,A045107,2001JJ00,62722
34,A045107,2002JJ00,68207
35,A045107,2003JJ00,73372
36,A045107,2004JJ00,75227
37,A045107,2005JJ00,76170
38,A045107,2006JJ00,86073
39,A045107,2007JJ00,87129
40,A045107,2008JJ00,91090
41,A045107,2009JJ00,97430
42,A045107,2010JJ00,101622
43,A045107,2011JJ00,103957
44,A045107,2012JJ00,108475
45,A045107,2013JJ00,111561
46,A045107,2014JJ00,113497
47,A045107,2015JJ00,110031
48,A045107,2016JJ00,111824
49,A045107,2017JJ00,113458
50,A045107,2018JJ00,116919
51,A045107,2019JJ00,121950
52,A045107,2020JJ00,124814
53,A045107,2021JJ00,133057
54,A045108,1995JJ00,5735
55,A045108,1996JJ00,5672
56,A045108,1997JJ00,6151
57,A045108,1998JJ00,47
58,A045108,1999JJ00,15
59,A045108,2000JJ00,0
60,A045108,2001JJ00,0
61,A045108,2002JJ00,0
62,A045108,2003JJ00,0
63,A045108,2004JJ00,0
64,A045108,2005JJ00,0
65,A045108,2006JJ00,0
66,A045108,2007JJ00,0
67,A045108,2008JJ00,0
68,A045108,2009JJ00,0
69,A045108,2010JJ00,0
70,A045108,2011JJ00,0
71,A045108,2012JJ00,0
72,A045108,2013JJ00,0
73,A045108,2014JJ00,0
74,A045108,2015JJ00,0
75,A045108,2016JJ00,0
76,A045108,2017JJ00,0
77,A045108,2018JJ00,0
78,A045108,2019JJ00,0
79,A045108,2020JJ00,0
80,A045108,2021JJ00,0
81,A045117,1995JJ00,2090
82,A045117,1996JJ00,2109
83,A045117,1997JJ00,2005
84,A045117,1998JJ00,1552
85,A045117,1999JJ00,1539
86,A045117,2000JJ00,1498
87,A045117,2001JJ00,1515
88,A045117,2002JJ00,1528
89,A045117,2003JJ00,1506
90,A045117,2004JJ00,1442
91,A045117,2005JJ00,1367
92,A045117,2006JJ00,1321
93,A045117,2007JJ00,1265
94,A045117,2008JJ00,1203
95,A045117,2009JJ00,1148
96,A045117,2010JJ00,1065
97,A045117,2011JJ00,968
98,A045117,2012JJ00,844
99,A045117,2013JJ00,711
100,A045117,2014JJ00,584
101,A045117,2015JJ00,439
