"ID";"RegioS";"Jaar";"Grijze Druk"
"0";"NL01  ";"1995JJ00";"21.1"
"1";"NL01  ";"1996JJ00";"21.3"
"2";"NL01  ";"1997JJ00";"21.5"
"3";"NL01  ";"1998JJ00";"21.7"
"4";"NL01  ";"1999JJ00";"21.8"
"5";"NL01  ";"2000JJ00";"21.9"
"6";"NL01  ";"2001JJ00";"22"
"7";"NL01  ";"2002JJ00";"22.1"
"8";"NL01  ";"2003JJ00";"22.2"
"9";"NL01  ";"2004JJ00";"22.5"
"10";"NL01  ";"2005JJ00";"22.8"
"11";"NL01  ";"2006JJ00";"23.2"
"12";"NL01  ";"2007JJ00";"23.6"
"13";"NL01  ";"2008JJ00";"24"
"14";"NL01  ";"2009JJ00";"24.5"
"15";"NL01  ";"2010JJ00";"25.1"
"16";"NL01  ";"2011JJ00";"25.6"
"17";"NL01  ";"2012JJ00";"26.8"
"18";"NL01  ";"2013JJ00";"28"
"19";"NL01  ";"2014JJ00";"29"
"20";"NL01  ";"2015JJ00";"29.9"
"21";"NL01  ";"2016JJ00";"30.6"
"22";"NL01  ";"2017JJ00";"31.3"
"23";"NL01  ";"2018JJ00";"32"
"24";"NL01  ";"2019JJ00";"32.6"
"25";"NL01  ";"2020JJ00";"33.1"
"26";"NL01  ";"2021JJ00";"33.7"
"27";"NL01  ";"2022JJ00";"34.1"
"28";"NL01  ";"2023JJ00";"34.4"
"29";"LD01  ";"1995JJ00";"23.4"
"30";"LD01  ";"1996JJ00";"23.5"
"31";"LD01  ";"1997JJ00";"23.6"
"32";"LD01  ";"1998JJ00";"23.8"
"33";"LD01  ";"1999JJ00";"23.9"
"34";"LD01  ";"2000JJ00";"24"
"35";"LD01  ";"2001JJ00";"24.1"
"36";"LD01  ";"2002JJ00";"24.2"
"37";"LD01  ";"2003JJ00";"24.3"
"38";"LD01  ";"2004JJ00";"24.6"
"39";"LD01  ";"2005JJ00";"24.9"
"40";"LD01  ";"2006JJ00";"25.4"
"41";"LD01  ";"2007JJ00";"25.7"
"42";"LD01  ";"2008JJ00";"26.3"
"43";"LD01  ";"2009JJ00";"26.9"
"44";"LD01  ";"2010JJ00";"27.7"
"45";"LD01  ";"2011JJ00";"28.4"
"46";"LD01  ";"2012JJ00";"29.9"
"47";"LD01  ";"2013JJ00";"31.2"
"48";"LD01  ";"2014JJ00";"32.4"
"49";"LD01  ";"2015JJ00";"33.4"
"50";"LD01  ";"2016JJ00";"34.3"
"51";"LD01  ";"2017JJ00";"35.1"
"52";"LD01  ";"2018JJ00";"36"
"53";"LD01  ";"2019JJ00";"36.8"
"54";"LD01  ";"2020JJ00";"37.6"
"55";"LD01  ";"2021JJ00";"38.5"
"56";"LD01  ";"2022JJ00";"39.1"
"57";"LD01  ";"2023JJ00";"39.5"
"58";"LD02  ";"1995JJ00";"20.8"
"59";"LD02  ";"1996JJ00";"21"
"60";"LD02  ";"1997JJ00";"21.2"
"61";"LD02  ";"1998JJ00";"21.3"
"62";"LD02  ";"1999JJ00";"21.4"
"63";"LD02  ";"2000JJ00";"21.5"
"64";"LD02  ";"2001JJ00";"21.6"
"65";"LD02  ";"2002JJ00";"21.7"
"66";"LD02  ";"2003JJ00";"21.8"
"67";"LD02  ";"2004JJ00";"22"
"68";"LD02  ";"2005JJ00";"22.4"
"69";"LD02  ";"2006JJ00";"22.8"
"70";"LD02  ";"2007JJ00";"23.1"
"71";"LD02  ";"2008JJ00";"23.6"
"72";"LD02  ";"2009JJ00";"24.2"
"73";"LD02  ";"2010JJ00";"24.8"
"74";"LD02  ";"2011JJ00";"25.3"
"75";"LD02  ";"2012JJ00";"26.6"
"76";"LD02  ";"2013JJ00";"27.8"
"77";"LD02  ";"2014JJ00";"28.9"
