,Perioden,GrijzeDruk_22
3961,1950,14.0
3962,1951,14.2
3963,1952,14.5
3964,1953,14.8
3965,1954,15.1
3966,1955,15.4
3967,1956,15.6
3968,1957,15.9
3969,1958,16.1
3970,1959,16.5
3971,1960,16.8
3972,1961,17.1
3973,1962,17.5
3974,1963,17.7
3975,1964,17.9
3976,1965,18.1
3977,1966,18.3
3978,1967,18.3
3979,1968,18.5
3980,1969,18.6
3981,1970,18.8
3982,1971,18.9
3983,1972,19.0
3984,1973,19.1
3985,1974,19.3
3986,1975,19.5
3987,1976,19.6
3988,1977,19.6
3989,1978,19.8
3990,1979,19.9
3991,1980,20.1
3992,1981,20.1
3993,1982,20.1
3994,1983,20.1
3995,1984,20.1
3996,1985,20.0
3997,1986,20.2
3998,1987,20.4
3999,1988,20.6
4000,1989,20.7
4001,1990,20.8
4002,1991,20.8
4003,1992,20.8
4004,1993,20.9
4005,1994,21.0
4006,1995,21.1
4007,1996,21.3
4008,1997,21.5
4009,1998,21.7
4010,1999,21.8
4011,2000,21.9
4012,2001,22.0
4013,2002,22.1
4014,2003,22.2
4015,2004,22.5
4016,2005,22.8
4017,2006,23.2
4018,2007,23.6
4019,2008,24.0
4020,2009,24.5
4021,2010,25.1
4022,2011,25.6
4023,2012,26.8
4024,2013,28.0
4025,2014,29.0
4026,2015,29.9
4027,2016,30.6
4028,2017,31.3
4029,2018,32.0
4030,2019,32.6
4031,2020,33.1
4032,2021,33.7
4033,2022,34.1
